city_name,region,federal_district,population,foundation_year,status,old_name,latitude,longitude
Онега,Архангельская область,Северо-Западный,16947,1137,1780,Устье Онежское(до 1780);Онег(до 1784),63.911644,38.094822
Опочка,Псковская область,Северо-Западный,9928,1414,1412,,56.71167,28.656818
Орёл,Орловская область,Центральный,303169,1566,1566,,52.9680171,36.0994994
Оренбург,Оренбургская область,Приволжский,543654,1743,1743,Чкалов(с 1938 по 1957),51.7671248,55.0978517
Орехово-Зуево,Московская область,Центральный,105745,1917,1917,,55.8062175,38.9810423
Орлов,Кировская область,Приволжский,5508,1459,1780,Халтурин(с 1923 по 1992),58.5363174,48.8850765
Орск,Оренбургская область,Приволжский,189195,1735,1865,Оренбург( с 1735 до 1741),51.2305015,58.4738015
Оса,Пермский край,Приволжский,19523,1591,1737,,57.2829207,55.4602059
Осинники,Кемеровская область,Сибирский,40367,1926,1938,Осиновка,53.606995,87.332893
Осташков,Тверская область,Центральный,16674,1350XIV век,1770,Кличен,57.1557583,33.1013213
Остров,Псковская область,Северо-Западный,20923,1341,1341,,57.344631,28.357817
Островной,Мурманская область,Северо-Западный,1487,1611,1981,Йоканьгский погост(до 1920);Йоканьга(до 1938);Гремиха(до 1981);Мурманск-140(до 1992),68.0544447,39.5129384
Острогожск,Воронежская область,Центральный,31699,1652,1765,,50.864902,39.077244
Отрадное,Ленинградская область,Северо-Западный,25706,1708,1970,"Ивановское,Медное,Пелла",59.772663,30.802027
Отрадный,Самарская область,Приволжский,46984,1920-е,1956,,53.3758258,51.3481701
Оха,Сахалинская область,Дальневосточный,20357,1908,1938,Охэ,53.5891992,142.9496845
Оханск,Пермский край,Приволжский,6430,1547,1781,,57.721785,55.3859893
Очёр,Пермский край,Приволжский,14385,1759,1950,,57.8836175,54.715823
Павлово,Нижегородская область,Приволжский,57116,1566,1922,Павлов Острог,55.965137,43.071114
Павловск,Воронежская область,Центральный,22384,1709,1779,Осеред(до 1711),50.4520214,40.1399663
Павловский Посад,Московская область,Центральный,65098,1328,1844,Павлово(до 1844),55.7813357,38.6507838
Палласовка,Волгоградская область,Южный,14966,1907,1967,,50.045901,46.8896382
Партизанск,Приморский край,Дальневосточный,33832,1896,1932,Сучанский Рудник(до 1932);Сучан(до 1972),43.1199311,133.122886
Пенза,Пензенская область,Приволжский,501109,1663,1663,,53.1953477,45.0190437
Первомайск,Нижегородская область,Приволжский,13223,1850XIX век,1951,Ташино(1951),54.8668282,43.8010332
Первоуральск,Свердловская область,Уральский,114450,1732,1933,Васильевско-Шайтанский(до 1920),56.9051246,59.9431941
Перевоз,Нижегородская область,Приволжский,8999,1593,2001,,55.596546,44.544846
Пересвет,Московская область,Центральный,11752,1948,2000,Новостройка(до 2000),56.4158101,38.1736347
Переславль-Залесский,Ярославская область,Центральный,37738,1152,1152,Переяславль,56.7367178,38.8462714
Пермь,Пермский край,Приволжский,1034002,1723,1781,Егошихинский починок(до 1723);Егошихинский медеплавильный завод(до 1781);Молотов(с 1940 до 1957),58.014965,56.246723
Пестово,Новгородская область,Северо-Западный,14032,1918,1965,,58.5991505,35.8230767
Петров Вал,Волгоградская область,Южный,12526,1942,1988,,50.139622,45.2141
Петровск,Саратовская область,Приволжский,26319,1698,1780,,52.3094494,45.3889831
Петровск-Забайкальский,Забайкальский край,Сибирский,15015,1789,1926,Петровский Завод(до 1926),51.275215,108.854485
Петрозаводск,Карелия,Северо-Западный,234897,1703,1777,Шуйский Завод(с 1703 до 1704);Петровская слобода(с 1704 до 1744),61.789221,34.3688041
Петропавловск-Камчатский,Камчатский край,Дальневосточный,164900,1740,1812,Петропавловская гавань(до 1849);Петропавловский Порт(до 1924),53.0199838,158.6471356
Петухово,Курганская область,Уральский,8502,1779,1944,Юдино(до 1944),55.065,67.88736
Петушки,Владимирская область,Центральный,13317,1861,1965,Новые Петушки,55.9298019,39.450831
Печора,Коми,Северо-Западный,35254,1940,1949,,65.1142862,57.16074
Печоры,Псковская область,Северо-Западный,10247,1473,1782,Печеры(до 1920);Петсери(с 1920 до 1940),57.813305,27.608185
Пикалёво,Ленинградская область,Северо-Западный,20388,1620,1954,,59.5129787,34.1773573
Пионерский,Калининградская область,Северо-Западный,12794,1254,1952,Нойкурен(до 1946),54.948227,20.22591
Питкяранта,Карелия,Северо-Западный,8340,1850XIX век,1940,"Деревня на Долгом берегу,Питкерандо",61.5717807,31.4744211
Плавск,Тульская область,Центральный,16893,1563,1949,Сергиевское(до 1926),53.7068732,37.2920333
Пласт,Челябинская область,Уральский,18379,1845,1940,Екатеринбургский сельсовет(1919—1931),54.369812,60.807091
Плёс,Ивановская область,Центральный,1896,1410,1925,,57.459187,41.511353
Поворино,Воронежская область,Центральный,16417,1870,1954,,51.199276,42.24094
Подольск,Московская область,Центральный,314934,1559,1781,,55.4308841,37.5453056
Подпорожье,Ленинградская область,Северо-Западный,16123,1936,1956,,60.914291,34.162354
Покров,Владимирская область,Центральный,17747,1506,1778,,55.9151547,39.1663267
Покровск,Якутия,Дальневосточный,12021,1682,1997,,61.48327,129.1540617
Полевской,Свердловская область,Уральский,55182,1718,1942,Полевской завод,56.442108,60.165859
Полесск,Калининградская область,Северо-Западный,6926,1258,1642,Лабиау(до 1946),54.8627556,21.1098591
Полысаево,Кемеровская область,Сибирский,25631,1952,1989,,54.603142,86.276024
Полярные Зори,Мурманская область,Северо-Западный,14146,1968,1991,,67.3659225,32.5010277
Полярный,Мурманская область,Северо-Западный,12293,1896,1939,Александровск(до 1931);Полярное(до 1939),69.199524,33.445839
Поронайск,Сахалинская область,Дальневосточный,16026,1869,1946,Тихменевский(до 1905);Сисука(до 1946),49.2216366,143.1015759
Порхов,Псковская область,Северо-Западный,7309,1239,1239,,57.7594629,29.5587337
Похвистнево,Самарская область,Приволжский,27333,1888,1947,,53.646797,52.123344
